merchant_id,day,txn_count,txn_volume,avg_txn_value,refund_rate,dispute_rate,category_entropy,geo_entropy,dominant_category,dominant_geo,true_drift,true_drift_any,drift_kind,archetype,n_deviant_signals,deviant_features,deviant_signal_groups,predicted_drift_ms,z_txn_count,baseline_mean_txn_count,baseline_std_txn_count,baseline_days_txn_count,z_txn_volume,baseline_mean_txn_volume,baseline_std_txn_volume,baseline_days_txn_volume,z_refund_rate,baseline_mean_refund_rate,baseline_std_refund_rate,baseline_days_refund_rate,z_dispute_rate,baseline_mean_dispute_rate,baseline_std_dispute_rate,baseline_days_dispute_rate,z_category_entropy,baseline_mean_category_entropy,baseline_std_category_entropy,baseline_days_category_entropy,z_geo_entropy,baseline_mean_geo_entropy,baseline_std_geo_entropy,baseline_days_geo_entropy,predicted_drift_static
M0001,0,94,47798.51,508.49,0.0623072913862921,0.0068508555839789,1.3398,1.4409,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,0
M0001,1,108,61438.86,568.88,0.073795549245706,0.0091797240879444,1.4936,1.3264,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,0
M0001,2,92,55288.81,600.97,0.081338769479345,0.0070674704720502,1.4383,1.2623,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,2.0,,,,2.0,,,,2.0,,,,2.0,,,,2.0,,,,2.0,0
M0001,3,108,59657.55,552.38,0.0680403496633064,0.0061512338847092,1.1478,1.4589,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,3.0,,,,3.0,,,,3.0,,,,3.0,,,,3.0,,,,3.0,0
M0001,4,103,56001.75,543.71,0.0815713201199112,0.0052235207620929,1.3332,1.4226,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,4.0,,,,4.0,,,,4.0,,,,4.0,,,,4.0,,,,4.0,0
M0001,5,98,53998.48,551.0,0.0678292493289336,0.0092096370616053,1.1872,1.2648,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,5.0,,,,5.0,,,,5.0,,,,5.0,,,,5.0,,,,5.0,0
M0001,6,95,53379.26,561.89,0.0699147009927844,0.0055705070827308,1.3094,1.2321,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,6.0,,,,6.0,,,,6.0,,,,6.0,,,,6.0,,,,6.0,0
M0001,7,86,51420.48,597.91,0.0718708715299573,0.0064960624976115,1.3586,1.2611,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,7.0,,,,7.0,,,,7.0,,,,7.0,,,,7.0,,,,7.0,0
M0001,8,106,53881.89,508.32,0.0656029024066029,0.005559981273469,1.3006,1.4608,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,8.0,,,,8.0,,,,8.0,,,,8.0,,,,8.0,,,,8.0,0
M0001,9,104,53629.75,515.67,0.0690080462301288,0.0079520324770892,1.251,1.5699,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,9.0,,,,9.0,,,,9.0,,,,9.0,,,,9.0,,,,9.0,0
M0001,10,103,58767.08,570.55,0.077767391600012,0.0074930502694157,1.2004,1.3486,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,10.0,,,,10.0,,,,10.0,,,,10.0,,,,10.0,,,,10.0,0
M0001,11,97,57443.39,592.2,0.0736304864148497,0.0086491111219109,1.3328,1.4089,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,11.0,,,,11.0,,,,11.0,,,,11.0,,,,11.0,,,,11.0,0
M0001,12,113,63098.53,558.39,0.0719206162424565,0.0081547966111025,1.3671,1.4388,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,12.0,,,,12.0,,,,12.0,,,,12.0,,,,12.0,,,,12.0,0
M0001,13,96,61059.07,636.03,0.0621571589808387,0.007019657831544,1.0504,1.5584,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,13.0,,,,13.0,,,,13.0,,,,13.0,,,,13.0,,,,13.0,0
M0001,14,105,57111.05,543.91,0.0724305235568623,0.005802399073169,1.3588,1.6133,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,14.0,,,,14.0,,,,14.0,,,,14.0,,,,14.0,,,,14.0,0
M0001,15,94,56059.19,596.37,0.0656727629006129,0.0060485116725508,1.2273,1.3778,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,15.0,,,,15.0,,,,15.0,,,,15.0,,,,15.0,,,,15.0,0
M0001,16,100,56372.06,563.72,0.0766535432850584,0.0082696396615649,1.3672,1.116,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,16.0,,,,16.0,,,,16.0,,,,16.0,,,,16.0,,,,16.0,0
M0001,17,104,56564.96,543.89,0.063983075100225,0.0073203373038828,1.0748,1.5344,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,17.0,,,,17.0,,,,17.0,,,,17.0,,,,17.0,,,,17.0,0
M0001,18,101,58337.95,577.6,0.0721797297828783,0.0064732780773182,1.2773,1.8167,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,18.0,,,,18.0,,,,18.0,,,,18.0,,,,18.0,,,,18.0,0
M0001,19,93,52634.49,565.96,0.0612163147314131,0.0081006294252463,1.4,1.2839,apparel,jaipur,0,0,none,normal,0,[],[],0,,,,19.0,,,,19.0,,,,19.0,,,,19.0,,,,19.0,,,,19.0,0
M0001,20,94,49893.99,530.79,0.0795819508900635,0.0083400993173803,1.326,1.431,apparel,jaipur,0,0,none,normal,0,[],[],0,-0.9002369356365912,100.0,6.664912049800729,20.0,-1.7167960528096002,56197.15550000001,3671.470172409033,20.0,1.516053380299668,0.07044453264890874,0.006027108517345626,20.0,0.9915258242149346,0.007129621811549325,0.0012208229743177893,20.0,0.30600597055058076,1.29078,0.11509579351223277,20.0,0.13215390695555693,1.40983,0.1601920101168069,20.0,0
M0001,21,95,50777.51,534.5,0.0793228479011304,0.0064878943310633,1.1271,1.2951,apparel,jaipur,0,0,none,normal,0,[],[],0,-0.7113985706952252,99.71428571428571,6.626785473688259,21.0,-1.3353766187378306,55897.00476190477,3833.745993503768,21.0,1.3610000840585443,0.07087964780324943,0.006203673458052318,21.0,-0.5737814185688771,0.007187263597541276,0.0012188775095267803,21.0,-1.4705671570276289,1.292457142857143,0.11244446883430313,21.0,-0.7409410643172089,1.4108380952380952,0.15620418520702473,21.0,0
M0001,22,93,47301.26,508.62,0.0619435290346862,0.0076293571689957,1.2934,1.3527,apparel,jaipur,0,0,none,normal,0,[],[],0,-0.993167318711806,99.5,6.544717972023955,22.0,-2.1458476335187218,55664.30045454546,3897.3132686181907,22.0,-1.4755756781972655,0.07126342962588038,0.006316111554902049,22.0,0.3952940547554252,0.007155474085428642,0.0011988115628509956,22.0,0.07339229498430576,1.284940909090909,0.11525856918495374,22.0,-0.34241644094277573,1.4055772727272726,0.154423872234889,22.0,0
M0001,23,79,44186.11,559.32,0.066348946501225,0.0078855781614151,1.2045,1.0512,apparel,jaipur,0,0,none,normal,1,"['txn_count', 'txn_volume']",['volume'],0,-3.093090442531905,99.21739130434783,6.536307838382675,23.0,-2.6538972346274052,55300.69,4188.021998357611,23.0,-0.6969873433359599,0.07085821655669804,0.00646965845016714,23.0,0.6036197239264267,0.007176077697757644,0.001175409675221176,23.0,-0.7175188195422623,1.285308695652174,0.11262240578404006,23.0,-2.327393774206484,1.403278260869565,0.15127575950898334,23.0,0
M0001,24,84,43521.41,518.11,0.0590341997958279,0.0051509321934255,1.0493,1.3262,apparel,jaipur,0,0,none,normal,0,[],[],0,-1.889212460528871,98.375,7.608990677510048,24.0,-2.4167839370655693,54837.5825,4682.326924822232,24.0,-1.8198375404668523,0.07067033030438664,0.0063940490564743865,24.0,-1.7733482195246206,0.007205640217076704,0.001158660211812211,24.0,-2.088811452995167,1.2819416666666668,0.11137513935644107,24.0,-0.37942335896524937,1.3886083333333332,0.16448205377637024,24.0,0
