events_total,events_detected,missed_events,event_recall,event_precision,event_f1,avg_latency_days,median_latency_days,false_positive_episodes,false_alert_rate_nonevent_days,false_alerts_per_merchant,seed,detector
26,24,2,0.923,0.588,0.719,12.21,3.0,35,0.0057,0.833,1,Drift Watch
26,17,9,0.654,0.525,0.582,7.06,5.0,86,0.0316,2.048,1,Static threshold
26,20,6,0.769,0.635,0.696,12.4,2.0,31,0.0046,0.738,2,Drift Watch
26,16,10,0.615,0.812,0.7,7.12,4.0,22,0.0058,0.524,2,Static threshold
26,19,7,0.731,0.537,0.619,5.0,2.0,37,0.0055,0.881,3,Drift Watch
26,17,9,0.654,0.852,0.74,7.88,5.0,27,0.0049,0.643,3,Static threshold
26,20,6,0.769,0.618,0.685,11.0,2.0,34,0.0053,0.81,4,Drift Watch
26,18,8,0.692,0.87,0.771,5.83,4.0,18,0.0026,0.429,4,Static threshold
26,23,3,0.885,0.483,0.625,6.43,3.0,46,0.0066,1.095,5,Drift Watch
26,14,12,0.538,0.835,0.655,5.93,4.0,18,0.0036,0.429,5,Static threshold
26,20,6,0.769,0.543,0.636,12.4,2.5,43,0.0066,1.024,6,Drift Watch
26,17,9,0.654,0.833,0.733,6.35,4.0,20,0.005,0.476,6,Static threshold
26,24,2,0.923,0.596,0.724,4.71,2.0,36,0.0054,0.857,7,Drift Watch
26,14,12,0.538,0.839,0.656,7.07,3.0,18,0.0025,0.429,7,Static threshold
26,19,7,0.731,0.569,0.64,12.0,2.0,31,0.0048,0.738,8,Drift Watch
26,17,9,0.654,0.925,0.766,7.82,4.0,11,0.0017,0.262,8,Static threshold
26,19,7,0.731,0.514,0.604,2.74,1.0,34,0.0047,0.81,9,Drift Watch
26,20,6,0.769,0.772,0.771,9.2,4.5,41,0.0088,0.976,9,Static threshold
26,23,3,0.885,0.552,0.68,12.57,2.0,39,0.0054,0.929,10,Drift Watch
26,17,9,0.654,0.615,0.634,5.41,3.0,106,0.0343,2.524,10,Static threshold
