merchant_id,day,txn_count,txn_volume,avg_txn_value,refund_rate,dispute_rate,category_entropy,geo_entropy,dominant_category,dominant_geo,true_drift,true_drift_any,drift_kind,archetype
R0001,0,64,31429.03,491.08,0.05189670916479326,0.004944275504971708,1.1196,1.1542,apparel,jaipur,0,0,none,normal
R0001,1,83,45838.65,552.27,0.04620651142836819,0.005771288682724596,1.5548,1.1373,apparel,jaipur,0,0,none,normal
R0001,2,74,38113.58,515.05,0.062171745318067725,0.005997577781096989,1.4295,1.237,apparel,jaipur,0,0,none,normal
R0001,3,79,42077.37,532.62,0.048395657572756365,0.004719820618420724,1.099,1.2682,apparel,jaipur,0,0,none,normal
R0001,4,85,47150.09,554.71,0.03595315416866739,0.006230883491512316,1.2853,1.3235,apparel,jaipur,0,0,none,normal
R0001,5,82,40555.33,494.58,0.05255335708094975,0.005238172699849974,1.4154,1.3507,apparel,jaipur,0,0,none,normal
R0001,6,92,45643.57,496.13,0.06437381766418239,0.005518315866891911,0.9839,1.4135,apparel,jaipur,0,0,none,normal
R0001,7,81,45797.73,565.4,0.04472439270404632,0.0061926767691009785,1.2627,1.2318,apparel,jaipur,0,0,none,normal
R0001,8,85,39831.23,468.6,0.0509280382743181,0.004174862712423611,1.2893,1.2677,apparel,jaipur,0,0,none,normal
R0001,9,74,36334.32,491.0,0.042941845188842295,0.004662370422835321,1.3247,1.2837,apparel,jaipur,0,0,none,normal
R0001,10,73,33698.48,461.62,0.0529996714461855,0.00665702146739882,1.2092,1.4068,apparel,jaipur,0,0,none,normal
R0001,11,79,42388.37,536.56,0.056393564420354834,0.006085955486829674,1.2077,1.4529,apparel,jaipur,0,0,none,normal
R0001,12,78,37550.96,481.42,0.05252651509162904,0.006526925454344228,1.3481,1.4217,apparel,jaipur,0,0,none,normal
R0001,13,77,40990.1,532.34,0.06112998002974762,0.006112210815205496,1.3534,1.3154,apparel,jaipur,0,0,none,normal
R0001,14,69,33520.5,485.8,0.05194787223074338,0.0048327028203986435,1.2541,1.0344,apparel,jaipur,0,0,none,normal
R0001,15,65,35759.0,550.14,0.059524685350092366,0.005401831203129415,1.3001,1.4019,apparel,jaipur,0,0,none,normal
R0001,16,69,38623.3,559.76,0.04550101570117932,0.0047329620954738895,1.2659,1.7841,apparel,jaipur,0,0,none,normal
R0001,17,77,37466.09,486.57,0.05656454380974094,0.0042551315103565475,1.2918,1.3331,apparel,jaipur,0,0,none,normal
R0001,18,74,40912.74,552.87,0.039942625479563613,0.004800490916272838,1.3292,1.5156,apparel,jaipur,0,0,none,normal
R0001,19,71,37498.34,528.15,0.045381740178427526,0.006820460584182991,1.2085,1.0538,apparel,jaipur,0,0,none,normal
R0001,20,76,40542.74,533.46,0.05380783417970985,0.006840968285839473,1.3538,1.0703,apparel,jaipur,0,0,none,normal
R0001,21,69,37856.97,548.65,0.05605140013223978,0.007702419151507194,1.3693,1.2801,apparel,jaipur,0,0,none,normal
R0001,22,68,36157.02,531.72,0.06219159549760643,0.005943452312791012,1.4786,1.5666,apparel,jaipur,0,0,none,normal
R0001,23,67,35269.93,526.42,0.048117858821363726,0.004374363579968735,1.2087,1.3522,apparel,jaipur,0,0,none,normal
R0001,24,69,35667.11,516.91,0.05548163941748029,0.004890667669668221,0.9714,1.217,apparel,jaipur,0,0,none,normal
R0001,25,78,41857.46,536.63,0.05221191018674637,0.00721262361853957,1.3085,1.5442,apparel,jaipur,0,0,none,normal
R0001,26,81,38442.68,474.6,0.053397732305048067,0.005223256007570347,1.3028,1.2872,apparel,jaipur,0,0,none,normal
R0001,27,86,41380.77,481.17,0.059418321265326514,0.006390920180745562,1.2082,1.3956,apparel,jaipur,0,0,none,normal
R0001,28,71,35443.6,499.21,0.04710496590262801,0.006415792599057891,1.1632,1.2656,apparel,jaipur,0,0,none,normal
R0001,29,73,36930.9,505.9,0.05852515847003193,0.005864829062431259,1.2259,1.2958,apparel,jaipur,0,0,none,normal
R0001,30,81,42889.34,529.5,0.04196937537702062,0.003137390315693453,1.3651,1.2162,apparel,jaipur,0,0,none,normal
R0001,31,66,33635.39,509.63,0.06006337734219072,0.007703415833450929,1.1424,1.4826,apparel,jaipur,0,0,none,normal
R0001,32,73,37701.7,516.46,0.043807495631244794,0.007672845223391508,1.1791,1.1118,apparel,jaipur,0,0,none,normal
R0001,33,76,36843.63,484.78,0.04732410595438209,0.006177871491065349,1.4033,1.6506,apparel,jaipur,0,0,none,normal
R0001,34,75,41701.1,556.01,0.04701908607203038,0.005645566910963678,1.2902,1.0974,apparel,jaipur,0,0,none,normal
R0001,35,72,33861.67,470.3,0.038893240347152705,0.006379812397705597,1.5019,1.3055,apparel,jaipur,0,0,none,normal
R0001,36,89,42448.63,476.95,0.050517969888513925,0.005109522596378775,1.2438,1.2746,apparel,jaipur,0,0,none,normal
R0001,37,71,32447.48,457.01,0.055995397610364775,0.005345591950890461,1.3789,1.6656,apparel,jaipur,0,0,none,normal
R0001,38,81,38608.88,476.65,0.03396518285256933,0.006362608739615185,1.0136,1.5894,apparel,jaipur,0,0,none,normal
R0001,39,73,40610.92,556.31,0.0533908502685004,0.005460380103004692,1.3649,1.1849,apparel,jaipur,0,0,none,normal
R0001,40,70,31750.29,453.58,0.05922280586361707,0.007732076480511957,1.2713,1.5279,apparel,jaipur,0,0,none,normal
R0001,41,85,47564.32,559.58,0.05235256120665556,0.005910907491322432,1.376,1.07,apparel,jaipur,0,0,none,normal
R0001,42,78,38160.12,489.23,0.052724159966224496,0.006855727009131971,1.245,1.1823,apparel,jaipur,0,0,none,normal
R0001,43,77,41589.81,540.13,0.05125304835739742,0.004851342919909587,1.3309,1.5748,apparel,jaipur,0,0,none,normal
R0001,44,71,34374.84,484.15,0.044363664528733575,0.005678662533691291,1.4302,1.4227,apparel,jaipur,0,0,none,normal
R0001,45,78,39676.64,508.67,0.05903477015846634,0.00555876214827617,1.3545,1.4374,apparel,jaipur,0,0,none,normal
R0001,46,71,38306.24,539.52,0.05876213025106881,0.005582978213964693,1.2548,1.5321,apparel,jaipur,0,0,none,normal
R0001,47,81,37680.18,465.19,0.0572925916147187,0.00641641457632371,1.5201,1.3086,apparel,jaipur,0,0,none,normal
R0001,48,68,35426.47,520.98,0.06278989090072083,0.006253360257829015,1.362,1.3685,apparel,jaipur,0,0,none,normal
R0001,49,83,38857.32,468.16,0.04908312210764217,0.0059050738477285205,1.1812,1.4673,apparel,jaipur,0,0,none,normal
R0001,50,79,34331.79,434.58,0.05149122810210979,0.005891389586444931,1.2734,1.1311,apparel,jaipur,0,0,none,normal
R0001,51,79,42990.98,544.19,0.055048800230405835,0.006972323182085752,1.3969,1.2788,apparel,jaipur,0,0,none,normal
R0001,52,66,32320.75,489.71,0.05315455554821426,0.005706558190972121,1.3513,1.2811,apparel,jaipur,0,0,none,normal
R0001,53,87,45731.52,525.65,0.050274458399926135,0.0060391540763737985,1.3789,1.4304,apparel,jaipur,0,0,none,normal
R0001,54,72,37746.95,524.26,0.04550956260796908,0.0058954835047938725,1.1352,1.3328,apparel,jaipur,0,0,none,normal
R0001,55,78,31183.72,399.79,0.05084376929180726,0.005764338623243293,1.2676,1.3122,apparel,jaipur,0,0,none,normal
R0001,56,74,34162.05,461.65,0.05902453679141868,0.005702431773150945,1.4225,1.1208,apparel,jaipur,0,0,none,normal
R0001,57,81,38202.12,471.63,0.05860837023633729,0.006156892571477662,1.13,1.3389,apparel,jaipur,0,0,none,normal
R0001,58,79,35970.58,455.32,0.049265773345504395,0.005361413330692031,1.3036,1.1517,apparel,jaipur,0,0,none,normal
R0001,59,77,38680.61,502.35,0.04983627883487438,0.005676426943560056,1.3661,1.4192,apparel,jaipur,0,0,none,normal
R0001,60,72,37950.67,527.09,0.05854505728070821,0.005409994861739297,1.4881,1.4202,apparel,jaipur,0,0,none,normal
R0001,61,77,41362.31,537.17,0.04891001026559151,0.005389211520784809,1.2742,1.3925,apparel,jaipur,0,0,none,normal
R0001,62,92,45434.89,493.86,0.04919364051808742,0.0062328224730132595,1.2274,1.446,apparel,jaipur,0,0,none,normal
R0001,63,86,41947.52,487.76,0.06600020698629573,0.00608854046073939,1.1935,1.2428,apparel,jaipur,0,0,none,normal
R0001,64,70,35545.85,507.8,0.0528612836736639,0.0067670438149187015,1.3288,1.5921,apparel,jaipur,0,0,none,normal
R0001,65,75,39065.79,520.88,0.0700521993747791,0.005517449473872397,1.3834,1.1919,apparel,jaipur,0,0,none,normal
R0001,66,68,32470.45,477.51,0.05178210953007769,0.005264030389657596,1.5228,1.2979,apparel,jaipur,0,0,none,normal
