detector,metric,mean,median,std,min,max,n_seeds
Drift Watch,event_recall,0.812,0.769,0.082,0.731,0.923,10
Drift Watch,event_precision,0.564,0.56,0.047,0.483,0.635,10
Drift Watch,event_f1,0.663,0.66,0.043,0.604,0.724,10
Drift Watch,avg_latency_days,9.146,11.5,3.932,2.74,12.57,10
Drift Watch,false_alert_rate_nonevent_days,0.005,0.005,0.001,0.005,0.007,10
Static threshold,event_recall,0.642,0.654,0.068,0.538,0.769,10
Static threshold,event_precision,0.788,0.834,0.123,0.525,0.925,10
Static threshold,event_f1,0.701,0.716,0.066,0.582,0.771,10
Static threshold,avg_latency_days,6.967,7.065,1.143,5.41,9.2,10
Static threshold,false_alert_rate_nonevent_days,0.01,0.005,0.012,0.002,0.034,10
